name,address
Rạp Chiếu Phim Quốc Gia - Thái Hà,"Rạp Chiếu Phim Quốc Gia - Thái Hà, Thái Hà, Chợ Dừa, Hà Nội, Thành Công Đống Đa Hà Nội"
Đối Diện 6C Phan Chu Trinh,"Đối Diện 6C Phan Chu Trinh, Đối diện 6C P. Phan Chu Trinh, Tràng Tiền, Hoàn Kiếm, Hà Nội"
327 Bạch Mai,"327 Bạch Mai, 327 P. Bạch Mai, Bạch Mai, Hai Bà Trưng, Hà Nội"
63 Trần Quang Diệu,"63 Trần Quang Diệu, 63 P. Trần Quang Diệu, Chợ Dừa, Đống Đa, Hà Nội"
Đối Diện 311 Kim Mã (Gần Ngã 4 Kim Mã - Vạn Bảo),"Đối Diện 311 Kim Mã (Gần Ngã 4 Kim Mã - Vạn Bảo), 300 P. Kim Mã, Kim Mã, Ba Đình, Hà Nội"
512-514 Bạch Mai,"512-514 Bạch Mai, 512 P. Bạch Mai, Trương Định, Hai Bà Trưng, Hà Nội"
195B Đội Cấn,"195B Đội Cấn, 195B P. Đội Cấn, Đội Cấn, Ba Đình, Hà Nội"
67 Trần Hưng Đạo,"67 Trần Hưng Đạo, 67 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
Đối Diện 34A Trần Phú,"Đối Diện 34A Trần Phú, P. Trần Phú, Điện Biên, Ba Đình, Hà Nội"
49 Hai Bà Trưng - Tháp Hà Nội,"49 Hai Bà Trưng - Tháp Hà Nội, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
153 - 155 Đặng Tiến Đông,"153 - 155 Đặng Tiến Đông, 153 P. Đặng Tiến Đông, Trung Liệt, Đống Đa, Hà Nội"
22B Hai Bà Trưng,"22B Hai Bà Trưng, 22B P. Hai Bà Trưng, Tràng Tiền, Hoàn Kiếm, Hà Nội"
12A Điện Biên Phủ,"12A Điện Biên Phủ, 12A Điện Biên Phủ, Điện Biên, Ba Đình, Hà Nội"
Thành Cổ Hà Nội - Đối Diện 38 Phan Đình Phùng,"Thành Cổ Hà Nội - Đối Diện 38 Phan Đình Phùng, Quán Thánh, Ba Đình, Hà Nội"
283 Tôn Đức Thắng,"283 Tôn Đức Thắng, 281 P. Tôn Đức Thắng, Thổ Quan, Đống Đa, Hà Nội"
423 Minh Khai,"423 Minh Khai, 461 P. Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
Bộ Y Tế - 138A Giảng Võ,"Bộ Y Tế - 138A Giảng Võ, 138A P. Giảng Võ, Kim Mã, Ba Đình, Hà Nội"
Bến Xe Mỹ Đình,"2QHH+4G2 Bến Xe Mỹ Đình, Phạm Hùng, Mỹ Đình, Từ Liêm, Hà Nội"
319 Phố Huế,"319 Phố Huế, 319 P. Huế, Lê Đại Hành, Hai Bà Trưng, Hà Nội"
Qua Viện Tin Học Pháp Ngữ 20M - Lê Thanh Nghị,"Qua Viện Tin Học Pháp Ngữ 20M - Lê Thanh Nghị, P. Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội"
Xí nghiệp xe khách nam Hà Nội,"Xí nghiệp xe khách nam Hà Nội, Khu phường, Đền Lừ 1 Đ. Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai, Hà Nội"
Hiệp Hội Vận Tải Thành Phố Hà Nội,"Hiệp Hội Vận Tải Thành Phố Hà Nội, Khâm Thiên, Đống Đa, Hà Nội"
Số 3 Hàng Muối,"Số 3 Hàng Muối, 3 P. Hàng Muối, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội"
E6 Quỳnh Mai,"E6 Quỳnh Mai, Đối diện E6 P. Kim Ngưu, Quỳnh Mai, Hai Bà Trưng, Hà Nội"
167 Phùng Hưng,"167 Phùng Hưng, 167 P. Phùng Hưng, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội"
Đối Diện Bệnh Viện Xanh Pôn - 60 Trần Phú (Bộ Tư Pháp),"Đối Diện Bệnh Viện Xanh Pôn - 60 Trần Phú (Bộ Tư Pháp), Số, 60 P. Trần Phú, Ba Đình, Hà Nội"
"26, 30, 38, 42","26, 30, 38, 42, Đối diện 305 Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội"
240 Kim Mã,"240 Kim Mã, 240 P. Kim Mã, Kim Mã, Ba Đình, Hà Nội"
Cột Cờ Hà Nội - Điện Biên Phủ,"Cột Cờ Hà Nội - Điện Biên Phủ, Điện Biên Phủ, Điện Biên, Ba Đình, Hà Nội"
Đài Tưởng Niệm Khâm Thiên - 45 Khâm Thiên,"Đài Tưởng Niệm Khâm Thiên - 45 Khâm Thiên, Khâm Thiên, Đống Đa, Hà Nội"
36 Lý Thái Tổ - Cung Thiếu Nhi Hà Nội,"36 Lý Thái Tổ - Cung Thiếu Nhi Hà Nội, French Quarter, Lý Thái Tổ, Hoàn Kiếm, Hà Nội"
BẾN XE KHÁCH NƯỚC NGẦM,"BẾN XE KHÁCH NƯỚC NGẦM, 1 Đ. Ngọc Hồi, Văn Điển, Thanh Trì, Hà Nội"
Bưu Điện Thành Phố Hà Nội - 75B Đinh Tiên Hoàng,"Bưu Điện Thành Phố Hà Nội - 75B Đinh Tiên Hoàng, 75 P. Đinh Tiên Hoàng, French Quarter, Hoàn Kiếm, Hà Nội"
95 Giảng Võ,"95 Giảng Võ, 125 P. Giảng Võ, Chợ Dừa, Đống Đa, Hà Nội"
Đối Diện Tập Thể Bến Xe Nước Ngầm Hà Nội - Ngọc Hồi,"Đối Diện Tập Thể Bến Xe Nước Ngầm Hà Nội - Ngọc Hồi, Hoàng Liệt, Hoàng Mai, Hà Nội"
147 Nguyễn Thái Học,"147 Nguyễn Thái Học, 145 Nguyễn Thái Học, Cát Linh, Đống Đa, Hà Nội"
358-360 Lê Duẩn,"358-360 Lê Duẩn, Đối diện 388 Đ. Lê Duẩn, Phương Liên, Đống Đa, Hà Nội"
Đối Diện 807 Giải Phóng,"Đối Diện 807 Giải Phóng, Giải Phóng, Định Công, Hai Bà Trưng, Hà Nội"
57A Huỳnh Thúc Kháng,"57A Huỳnh Thúc Kháng, Láng Hạ, Đống Đa, Hà Nội"
Xí nghiệp xe buýt Thăng Long,"Xí nghiệp xe buýt Thăng Long, lô 7, lô 7 Đền Lừ, Hoàng Mai, Hà Nội"
Công Viên Nghĩa Đô,"Công Viên Nghĩa Đô, Đ. Nguyễn Văn Huyên, Dịch Vọng, Cầu Giấy, Hà Nội"
3A Phan Đình Phùng,"3A Phan Đình Phùng, P. Phan Đình Phùng, Quán Thánh, Hoàn Kiếm, Hà Nội"
Bệnh Viện Việt Đức - 40 Tràng Thi,"Bệnh Viện Việt Đức - 40 Tràng Thi, 40 P. Tràng Thi, Hàng Bông, Hoàn Kiếm, Hà Nội"
276 Tôn Đức Thắng,"276 Tôn Đức Thắng, 276 P. Tôn Đức Thắng, Hàng Bột, Đống Đa, Hà Nội"
Chợ Mơ - 459D Bạch Mai,"Chợ Mơ - 459D Bạch Mai, 459 P. Bạch Mai, Trương Định, Hai Bà Trưng, Hà Nội"
Kim Ngưu,"Kim Ngưu, P. Kim Ngưu, Thanh Nhàn, Hai Bà Trưng, Hà Nội"
"Viet Anh Investment - Transport Co.,Ltd","Viet Anh Investment - Transport Co.,Ltd, 222, Hong Mai Street, Hai Ba Trung District, Ha Noi City"
197 Đại La,"197 Đại La, 197 Đại La, Đồng Tâm, Hai Bà Trưng, Hà Nội"
194-196 Trương Định,"194-196 Trương Định, 194 Trương Định, Hai Bà Trưng, Hà Nội"
23-25 Hoàng Cầu,"23-25 Hoàng Cầu, 21 Hoàng Cầu (CTCPTM Sài Gòn Bank) P. Hoàng Cầu, Chợ Dừa, Đống Đa, Hà Nội"
Đối Diện 702 Đê La Thành,"Đối Diện 702 Đê La Thành, 621 Đ. Đê La Thành, Thành Công, Ba Đình, Hà Nội"
Đối Diện Tháp Hà Nội - Hai Bà Trưng (Cạnh 56 Hai Bà Trưng),"Đối Diện Tháp Hà Nội - Hai Bà Trưng (Cạnh 56 Hai Bà Trưng), Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
658 Trương Định,"658 Trương Định, 658 Trương Định, Giáp Bát, Hoàng Mai, Hà Nội"
251-253 Nguyễn Tam Trinh,"251-253 Nguyễn Tam Trinh, 251 Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội"
